"","practice","fmi1","fmi2","fmi3","fmi4","fmi5","fmi6","fmi7","fmi8","fmi9","fmi10","fmi11","fmi12","fmi13","fmi14"
"2",0,0.6,0.8,0.4,0,0.2,0.4,0.6,0.8,1,0,0.4,0.4,0.8,0.6
"3",0,0.8,0.6,1,1,0.8,0,0.6,0.2,0.6,0.4,1,0.4,0.8,0.8
"4",1,0.8,0.4,0.6,1,0.8,1,0.6,0.4,1,0.8,0.4,1,0.4,1
"5",0,1,0,0.2,0.2,0.2,0,0.2,0.8,0.2,0.2,0.4,0,0.8,0.8
"6",0,0.6,0.6,0.2,0.2,1,0.2,0.8,0.6,0.4,0.4,0.6,0.4,1,1
"7",0,0.4,0.2,0.4,0.8,0.8,0.8,0.4,0.6,0.6,0.4,0.2,0.2,0.8,0.6
"8",1,1,0.8,0.8,0.8,0.6,0.6,0.8,0.6,0.6,0.8,0.8,0.8,0.4,1
"9",0,0.4,0,0,0.6,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0,0.4,0.6
"10",1,1,0.8,0.8,0.8,0.8,0.6,1,0.8,0.2,0.8,0.6,0,0.6,0.8
"11",0,1,0.6,1,1,1,1,1,1,1,1,1,1,0,1
"12",1,0.6,0.2,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.8,0.8,0.8
"13",1,0.6,0.6,0.4,0.2,0.6,0.2,0.2,0.6,0.2,0.4,0.4,0.8,0.4,1
"14",0,0.8,0.2,0.4,0.8,0.8,0.6,0.8,0.8,0.8,0.4,1,1,0.8,1
"15",0,1,0.8,0.8,0.8,0.8,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.6
"16",1,0.8,0.8,0.6,0.6,1,0.8,1,1,0.8,0.6,0.6,0.6,0.4,0.8
"17",0,1,0.6,0.8,0.8,0.8,0.2,0.8,0.8,0.4,0.4,0.2,0.2,0.8,0.8
"18",1,0.6,0.2,0.2,0.4,0.4,0.2,0.4,0.8,0.2,0.4,0.6,0.6,0.6,0.8
"19",1,0.6,0.4,0.2,0.8,1,0.8,0.4,0.8,0.4,0.8,0.4,1,0.6,0.2
"20",1,0.8,0.4,0.6,0.6,1,0.8,0.6,0.8,0.4,0.8,0.8,0.6,0.6,0.8
"21",0,0.8,0.6,0.6,0.8,0.8,0.4,0.6,0.4,0.4,0.6,0.8,0.8,0.8,0.8
"22",0,0.6,0.2,0.4,0.4,0.6,0.2,0.6,0.4,0.2,0.6,1,1,0.6,0
"23",0,0.2,0.4,0.2,0,0.8,0,0.2,0,0,0.2,0.2,0.2,0.8,0.4
"24",0,1,0.8,0.4,1,1,0.8,0.6,0.8,0.8,0.6,0.8,0.2,0.8,1
"25",0,0.8,0.2,0.4,1,1,0.6,0.6,1,0.6,0.4,0,1,1,1
"26",0,0.8,0,0.4,0,0.4,0,0,0.4,0,0,0,0,1,0
"27",1,0.8,0.8,0.6,1,1,0.8,1,1,0.4,0.6,0.4,0.6,0.4,1
"28",1,1,0.6,0.6,0.8,1,0.4,0.6,0.4,0.2,0,0.4,0.2,0.6,0.2
"29",1,0.8,0.6,0.4,0.4,0.8,0.2,0.8,0.4,0.2,0.2,0.2,0.4,0.4,0.8
"30",1,0.8,0.6,1,0.8,0.8,0.6,0.4,0.6,1,0.6,0.8,0.8,0.4,1
"31",0,1,0.8,0.8,1,0.4,0.4,0.2,0.2,0,0.6,0.8,0.8,1,0.8
"32",0,0.4,0.2,0.6,0.6,0.8,0.4,0.2,0.6,0.4,0.6,0.6,0.2,0.8,0.8
"33",0,1,0,1,0,0.2,0,0,0.2,0,0.4,0.8,0,1,0
"34",1,0.8,0.4,1,1,0.8,0.8,0.8,1,0.8,0.4,0.8,0.8,0.8,0.8
"35",0,1,0,0,0.6,0,0.8,0.2,0.2,0.8,0.8,0.8,0.8,0.2,0.6
"36",0,0.8,0.2,0.2,0.8,0.8,0.8,0.6,0.6,0.4,0.4,0.2,0.4,0.4,0.4
"37",0,0.4,0.4,0.4,0.8,0.8,0.4,0.6,0.8,0.6,0.6,0.6,0.2,0.8,0.4
"38",0,0.2,0.6,0.8,0,1,0,0.6,0.8,0.2,0.4,0.2,0,0.6,0.2
"39",1,1,0.6,0.8,0.4,0.8,0.4,0.6,0.6,0,0.4,0,0.2,1,0.6
"40",0,0.4,0.2,0.2,0.2,0.6,0.2,0.4,0.6,0.4,0,0.8,1,0.6,0.4
"41",1,0.6,0.6,0.2,0.2,0.6,0.6,0.6,0.8,0.8,0.6,0.2,1,0.4,0.8
"42",1,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0.6
"43",1,0.8,0.4,0.6,1,1,1,0.8,0.8,1,0.6,0.8,0.6,0.2,0.8
"44",0,0.8,0.4,0.4,0.2,0.4,0.4,0.8,0.8,0.4,0.4,0.6,0.6,0.4,0.6
"45",0,0.4,0,0.4,0.6,0.6,0.2,0.2,0.2,0.2,0.4,0.8,0.2,0.8,0.4
"46",1,0.8,0.8,0.4,1,1,0.6,0.6,0.6,0.4,0.4,1,0.6,0.4,0.4
"47",0,1,0.6,0.8,0.8,1,0.6,1,0.8,0.8,0.8,0.8,0.6,0.8,1
"48",1,1,0.8,0.6,1,0.8,1,0.8,0.8,1,0.6,0.6,0.6,0.2,0.6
"49",0,0.6,1,0.6,0.8,0.6,0.8,0.8,0.6,0.6,0.6,0.4,0.6,0.2,0.2
"50",1,0.8,0.8,0.8,0.8,0.8,0.6,0.8,0.8,0.6,0.6,0.8,0.8,0.6,0.6
"51",0,0.4,0,0,0,0.2,0,0,0.8,0.2,0,0.2,0.2,0.4,0.2
"52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",0,0.6,0.6,0.4,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.8,0.8,1,1
"54",0,1,1,0.6,0.8,0.8,0.8,1,1,1,1,0.8,0.6,0.4,0.8
"55",1,1,0.6,0.6,0,0.4,0.2,0.6,0.8,0.4,0,0.6,0.4,0.2,0.4
"56",0,1,0.2,0.2,0.8,0.8,0.6,1,1,0.4,0,0.2,0,1,0.6
"57",0,0.8,0.2,0.4,0.8,1,0.8,1,0.8,1,0.6,0.2,0,0.6,0.4
"58",0,1,0.6,0.8,1,0.8,0.8,0.8,1,0.6,0.4,1,1,0.6,0.8
"59",0,0.8,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.6,0.4,0.2,0.2,0.2,0.6
"60",0,1,0.8,1,0.4,1,0.2,1,0.8,0.6,1,0.4,1,0,0
"61",1,1,0.8,0.8,0.6,0.6,0.4,0.8,0.8,0.4,0.2,0.2,0.2,0,0
"62",0,0.4,0.2,0.2,0.2,0.4,0.6,0.4,0.6,0.2,0.2,0.6,0.2,0.2,0.6
"63",1,0.8,0.8,0.8,0.8,1,1,0.8,0.6,0.8,0.8,0.4,0,0.2,0.6
"64",1,1,0.8,0.8,0.6,0.6,0.2,0.6,0.4,0.4,0.2,0.2,0.2,1,0.2
"65",0,0,0.2,0.2,0,0.6,0,0,1,0,0,0.8,0,0,0.8
"66",0,0.4,0.2,0.2,0.2,0.6,0.4,0.4,0.8,0.2,0.8,0.8,0.2,0.6,0.6
"67",1,0.6,0.8,0.4,1,0.4,0.2,0.6,1,0.6,0.2,0.6,1,0.8,1
"68",1,0.8,1,0.4,0.8,0.4,0.4,0.8,0.6,0.4,0.6,0.8,0.6,0.4,0.6
"69",0,0.4,0,0.2,0.4,0.8,0.8,0.8,0.6,0.6,0.6,0.6,0.6,0.4,0.6
"70",0,0.8,1,0.6,0.8,0.8,0.6,0.8,0.8,0.6,0.8,0.6,0.4,0.8,0.6
"71",0,0.8,0.4,0.6,0.2,0,0.2,0.4,0.2,0.2,0.2,0.4,0.2,0.8,0.8
"72",1,0.6,0.8,0.8,0.8,0.6,0.4,0.4,0.6,0.6,0.6,0.8,0.6,0.8,0.8
"73",0,1,0.2,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.8,0,0.8,0.6
"74",0,0.6,0.4,0.6,0.8,0.6,0.8,0.8,0.6,0.6,0.4,0.4,0.2,0.2,0.6
"75",1,0,0.4,0.4,0.8,1,0.6,0.8,0.8,0.4,0.8,0.8,0.8,0.2,0.6
"76",1,1,0.6,0.8,0.6,0.6,0.8,0.8,0.8,0.4,0.6,0.4,0.2,0.6,0.4
"77",0,0.8,0.2,0.2,0.2,0.4,0.2,0.8,0.6,0.2,0.2,0.2,0.2,0.8,0.2
"78",1,0.4,0.2,0.2,0.4,0.6,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.8,0.4
"79",1,0.8,1,1,0.6,1,0.6,0.8,0.2,0.6,0.6,0.8,0.8,0.4,0.8
"80",0,0.8,0.4,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
"81",1,0.8,0.4,0.4,0.4,0.8,0.6,0.6,0.4,0.2,0.2,0.2,0.2,0.6,0.8
"82",0,0.2,0.8,0,0.2,1,0.8,0.2,0.2,0.2,0,0.8,0.2,1,0.4
"83",1,0.6,0.8,0.8,0.8,1,0.4,0.8,1,0.6,0.6,0.8,0.8,0.6,0.6
"84",0,0.4,0.8,1,0.8,0.6,0.8,0.8,0.6,0.4,0.8,0.8,0.4,0.2,0.8
"85",0,1,0.4,0.6,0.6,0.8,0.6,0.6,0.6,0.4,0.8,0.8,0.8,0.2,0.6
"86",1,0.8,0.4,0.2,0.6,0.8,0.6,0.8,0.8,0.6,0.6,0.6,0.4,0.4,1
"87",1,0.8,0.8,0.8,1,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.8,0.2,0.8
"88",0,1,0.2,0.6,0.6,0.4,0.6,0.8,0.8,0.4,0.6,1,1,0.2,1
"89",1,1,1,0.8,0.8,0.8,0.4,1,0.6,0.4,0.8,0.8,0.2,0.6,0.6
"90",0,0.8,0.8,0.8,1,0.8,0.8,1,0.8,0.6,0.6,0.6,0.6,0.6,0.8
"91",1,0.8,0.6,0.8,0.8,0.8,0.6,0.8,1,0.8,0.8,0.8,0.6,1,0.8
"92",0,0.4,0.4,0.6,1,0.2,1,0.4,0.8,0.8,0.8,0.8,0.2,0.2,0.4
"93",0,1,1,0.2,0,1,0,0.4,0.8,0,0,1,0.6,1,0
"94",0,0.6,0.6,0.4,0.4,0,0.6,0.8,0.8,0.6,0.8,0.6,0.6,0,0.6
"95",1,1,0.8,0.8,1,1,0.8,1,0.8,1,1,0.6,0.8,0,0.2
"96",1,0.8,0.6,0.6,1,1,0.8,0.8,1,0.8,0.6,0.4,0.6,0.2,0.8
"97",1,0.8,0.6,0.8,0.8,1,0.4,0.6,0.2,0.2,0.6,1,1,0.4,1
"98",0,0.6,0.2,0.2,0.4,0.4,0.4,0.2,0.6,0.2,0,0.2,0.2,0.4,0
"99",0,0.8,0.4,0.6,0.6,1,0.6,0.8,0.8,0.6,0.6,0.8,0.2,0.2,0.6
"100",0,0.8,0.8,0.4,0.4,0.6,0.4,0.2,0.6,0.4,0.4,0.6,0.6,0.4,1
"101",1,0.8,0.8,1,0.8,1,0.8,0.8,1,0.8,1,0.8,1,0.2,1
"102",1,0.8,1,0.8,1,1,0.6,0.8,0.6,0.8,0.6,0.6,0.6,0.4,0.8
"103",0,0.4,0.4,1,0.2,1,0.6,0.8,0.6,0.2,0,0.8,0.6,0.6,1
"104",0,0.4,0.2,0.8,0.4,0.6,0.6,0.4,0.2,0.6,0.4,0.8,0.6,0.8,0.4
"105",1,0.4,0.4,0.4,0.8,0.8,0.8,0.8,0.8,0.4,0.4,0.6,0.6,0.2,1
"106",0,0.6,0.4,0.4,0.8,0.8,0.6,0.8,0.8,0.8,0.6,0.4,0.6,0.8,0.6
"107",1,0.8,0.6,0.8,0.8,0.8,0.6,0.6,1,1,0.8,0.8,0.8,0.8,0.8
"108",1,0.8,0.6,0.4,0.4,0.6,0.6,0.4,0.6,0.8,0,0.2,0.2,0.8,0.6
"109",0,1,0.8,0.6,1,0.8,0.6,0.8,0.8,0.8,0.6,0.6,0.6,0.2,0.8
"110",1,0.8,0.8,0.6,0.4,0.8,0.6,0.6,0.8,0.8,0.4,0.4,0.6,0.4,1
"111",0,1,0.6,0.2,0.8,0.6,0.6,0.4,0.4,0.2,0.2,0.8,0.4,1,1
"112",0,1,0.6,1,0.8,1,0.8,1,0.8,0.6,1,1,0.6,0.6,0.8
"113",0,0.2,0,0,0,0.2,0.2,0.4,0,0.4,0,0.2,0.2,0.2,0.2
"114",1,0.6,0.8,0.6,0.8,0.8,0.6,0.6,0.6,0.8,0.6,0.4,0.4,0.2,0.4
"115",0,1,0.6,0.6,0.8,0.6,0.4,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.6
"116",0,0.6,0.2,0.4,0,0.6,0,0.2,0,0.2,0.4,0.2,0.2,0.8,0.6
"117",0,0.8,0.2,0.8,0.8,1,0,0.8,0.8,1,0,0,0,1,0
"118",0,0.6,0.4,0.6,0.4,0.8,0.6,0.2,0.8,0.8,0.8,0.6,0.8,0.8,0.8
"119",0,0.4,0,0.6,0.8,0.4,0.6,0.4,0.8,0.6,0,0.2,0.8,0.4,0.4
"120",0,0.6,0.4,0.4,0.2,0.6,0.2,0.4,0.6,0.2,0.2,0.4,0.2,0.4,0.2
"121",0,0.4,0.4,0.6,0.6,0.8,0.4,0.6,0.6,0.8,0.4,0.8,0.6,0.6,0.6
"122",0,1,0.8,0.6,0.6,0.8,0.4,0.8,0.4,0.6,0.6,0.8,0.8,0.4,0.8
"123",1,1,0.6,1,1,1,0.4,0.8,0.8,0.8,0.8,0.8,0.2,0.2,0.8
"124",0,0,0.2,0,0.2,0.4,0.6,0.4,0.2,0.2,0,0,0,0.2,0.4
"125",1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4,1
"126",0,0.8,0.4,0.2,0,0.4,0.4,0,0.4,0.8,0,0.2,0.8,0.2,1
"127",0,0.6,0.4,0.4,0.8,0.8,1,0.8,0.8,0.8,0.6,0.4,0.6,0.4,0.6
"128",0,0.8,0.2,0.2,0.4,0.2,0.2,0.2,0.4,0.6,0.2,0,0,0.6,0.8
"129",1,0.8,0.8,0.4,0.8,0.8,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6
"130",1,0.8,0.8,1,1,0.8,0.8,1,0.8,0.8,1,0.8,0.6,0.4,0.6
"131",0,0.8,0.6,0.6,1,0.6,0.2,0.4,1,0.8,0.4,0.6,0.4,0.8,0.8
"132",0,0.6,0.2,0.4,0.6,0.4,0.4,0.4,0.6,0.4,0.2,0.6,0.6,0.4,0.8
"133",0,0.4,0.8,1,0.2,1,0,0.2,0.6,0.4,0,0.6,0.8,0.8,0.2
"134",0,0.8,0.8,0.8,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
"135",1,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0.2,0.8,0.2
"136",1,1,1,0.6,0.4,1,0.8,1,1,0.6,0.8,0.8,0.8,0.2,1
"137",0,0.8,0.8,0.8,0.6,0.6,0.4,0.2,0.4,0.4,0.4,0.6,0.6,0.6,0.4
"138",0,0.2,0.2,0.8,0.4,1,0.2,0.8,0.6,0,0,0,0,0.2,0.2
"139",0,0.2,0.4,0.8,0.4,0.4,0.2,0.2,0.4,0.2,0.2,0.8,0.4,0.2,0.4
"140",0,0.8,0.2,0.2,0.8,0.4,0.6,0.6,0.4,0.6,0.4,0.6,0.6,0.2,0.8
"141",0,0.6,0,0.2,0.2,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0,0.2,0.8
